time_s,x,y,z,qx,qy,qz,qw,target_fz
2.268166,0.006818429,-0.009357634,0.022387665,0.404373139591,0.040274688136,-0.087656507035,0.909492523470,-4.231931
2.301576,0.006899980,-0.009432606,0.023592502,0.416459054717,0.039559917357,-0.087140247140,0.904103669947,-4.764234
2.368147,0.006966634,-0.009923939,0.025601274,0.438633628887,0.037899557979,-0.087729246390,0.893570222446,-6.348568
2.434844,0.006832008,-0.009869969,0.027429699,0.455975555770,0.034939886051,-0.086018395184,0.885136335596,-6.482741
2.468138,0.006771750,-0.010261009,0.027904942,0.462239794704,0.033701724776,-0.085491780666,0.881980567461,-5.146210
2.534913,0.006453061,-0.010167980,0.028383529,0.471903629509,0.032642648066,-0.083115346871,0.877116446715,-4.465729
2.601660,0.006309390,-0.010558404,0.028633165,0.479340034221,0.031867284397,-0.081852538565,0.873222634675,-4.131428
2.635207,0.006287667,-0.010853382,0.028953840,0.482693653796,0.030956393171,-0.081121318740,0.871474537754,-4.768970
2.701929,0.006444967,-0.012397801,0.029595999,0.488879153289,0.028423111888,-0.082129862646,0.868011512511,-4.841283
2.768445,0.006526342,-0.013172486,0.029941622,0.492703988869,0.027125063394,-0.082101908133,0.865890458990,-4.850845
2.834985,0.006577624,-0.014428117,0.029339964,0.495331403004,0.027091134484,-0.084446508166,0.864165296046,-4.300628
2.868523,0.006703150,-0.015034544,0.029229254,0.497768185828,0.027027225985,-0.084561227775,0.862754751357,-1.080198
2.935134,0.006927882,-0.017188634,0.028399064,0.506885484294,0.027963478323,-0.089788858481,0.856868199074,-3.552310
3.002245,0.007434445,-0.020084037,0.028591418,0.521907844832,0.027805295814,-0.093165036726,0.847442825776,-4.781684
3.035129,0.007510155,-0.020986210,0.028647201,0.528313313220,0.027459375274,-0.094993781762,0.843271727980,-4.219246
3.101804,0.007588524,-0.022314675,0.029803440,0.543693929448,0.026131300896,-0.094455785164,0.833541943062,-1.297064
3.218169,0.007966123,-0.024334480,0.030318661,0.564371141473,0.027616738977,-0.098105061157,0.819205668545,0.963621
3.284971,0.008546695,-0.026661215,0.029944115,0.583530110946,0.030990411662,-0.105140099952,0.804660029693,0.744439
3.318260,0.008741744,-0.027921275,0.028744101,0.591794179570,0.034420338143,-0.110441074180,0.797745359424,-1.352830
3.385199,0.009212614,-0.030500535,0.026773838,0.606119668053,0.039053867287,-0.121105807828,0.785128732603,-4.192415
3.451741,0.009437685,-0.031790041,0.025484901,0.616960246740,0.042284976471,-0.127490157033,0.775447157817,-4.833515
3.618720,0.009326902,-0.031303704,0.023294152,0.616624876552,0.047405545097,-0.132588890998,0.774562238877,-4.453746
