time_s,x,y,z,vx,vy,vz,ax,ay,az,displacement_norm_m,speed_norm_m_s,acc_norm_m_s2
0.067570,-0.000004895,0.000674091,0.000445810,0.000007725,0.000025976,0.000046862,0.015546570,0.052274869,0.094306835,0.000808189,0.000054134,0.108940979
0.068549,-0.000004878,0.000674149,0.000445916,0.000029985,0.000100825,0.000181894,0.029700911,0.099868407,0.180168282,0.000808295,0.000210120,0.208126050
0.069528,-0.000004832,0.000674302,0.000446193,0.000065438,0.000220034,0.000396954,0.042505209,0.142922472,0.257840262,0.000808576,0.000458551,0.297850846
0.070507,-0.000004746,0.000674593,0.000446716,0.000112783,0.000379228,0.000684149,0.054001656,0.181578922,0.327578695,0.000809106,0.000790312,0.378411000
0.071486,-0.000004608,0.000675057,0.000447553,0.000170759,0.000574171,0.001035838,0.064232438,0.215979616,0.389639502,0.000809955,0.001196575,0.450102146
0.072465,-0.000004409,0.000675727,0.000448763,0.000238149,0.000800767,0.001444630,0.073239745,0.246266412,0.444278605,0.000811181,0.001668801,0.513219919
0.073444,-0.000004139,0.000676634,0.000450398,0.000313775,0.001055058,0.001903384,0.081065767,0.272581170,0.491751923,0.000812840,0.002198743,0.568059950
0.074423,-0.000003792,0.000677801,0.000452504,0.000396501,0.001333223,0.002405210,0.087752690,0.295065748,0.532315379,0.000814977,0.002778441,0.614917875
0.075402,-0.000003361,0.000679251,0.000455119,0.000485234,0.001631584,0.002943470,0.093342705,0.313862003,0.566224892,0.000817634,0.003400226,0.654089326
0.076381,-0.000002840,0.000681001,0.000458277,0.000578919,0.001946598,0.003511774,0.097878001,0.329111795,0.593736384,0.000820846,0.004056717,0.685869937
0.077360,-0.000002226,0.000683066,0.000462003,0.000676546,0.002274864,0.004103984,0.101400765,0.340956983,0.615105776,0.000824640,0.004740824,0.710555342
0.078339,-0.000001515,0.000685458,0.000466318,0.000777142,0.002613117,0.004714212,0.103953187,0.349539424,0.630588987,0.000829040,0.005445744,0.728441175
0.079318,-0.000000704,0.000688185,0.000471237,0.000879780,0.002958234,0.005336822,0.105577455,0.355000978,0.640441940,0.000834065,0.006164968,0.739823068
