time_s,x_hermite,y_hermite,z_hermite,vx_hermite,vy_hermite,vz_hermite,ax_hermite,ay_hermite,az_hermite,speed_hermite,acc_hermite,x_spline,y_spline,z_spline,vx_spline,vy_spline,vz_spline,ax_spline,ay_spline,az_spline,speed_spline,acc_spline
5.207,0.00983921305,-0.034117334,0.0187003648,0.000504854787,-0.00821301507,-0.00254385594,0.00309136021,-0.494140935,-0.256336604,0.00861276367,0.556680586,0.00994097769,-0.034414465,0.0191552919,0.00174023257,-0.00231461328,0.00196647266,0.00213269869,0.000167128099,0.000142700612,0.00350040837,0.00214399136
5.208,0.00983972053,-0.0341257928,0.0186976957,0.00051119316,-0.00870331195,-0.00279120825,0.00964587786,-0.48616063,-0.238049863,0.00915422312,0.541399057,0.00994271898,-0.0344167795,0.0191572584,0.001742365,-0.00231445312,0.00196662708,0.00213215027,0.00015317456,0.000166136989,0.00350144986,0.00214409159
5.209,0.00984023768,-0.0341347376,0.0186947888,0.000524260705,-0.00918476998,-0.0030193454,0.0165428823,-0.476481254,-0.217932307,0.00968252526,0.524216123,0.00994446242,-0.0344190939,0.0191592252,0.00174449687,-0.00231430695,0.00196680495,0.00213159789,0.000139143284,0.000189600461,0.00350251448,0.0021445323
5.21,0.0098407714,-0.0341441588,0.018691664,0.00054437944,-0.00965574415,-0.00322651464,0.0237414345,-0.465210941,-0.196140062,0.0101951038,0.505426354,0.00994620798,-0.0344214081,0.0191611921,0.00174662819,-0.00231417486,0.00196700629,0.00213104155,0.000125034668,0.000213090839,0.0035036023,0.0021453157
5.211,0.00984132889,-0.0341540451,0.0186883432,0.000571830444,-0.0101146976,-0.00341111934,0.0312005953,-0.452457824,-0.172829258,0.0106897069,0.485346796,0.00994795567,-0.0344237223,0.0191631592,0.00174875895,-0.00231405691,0.00196723114,0.00213048123,0.000110849108,0.000236607938,0.00350471334,0.00214644383
5.212,0.00984191759,-0.0341643837,0.0186848498,0.000606853854,-0.0105602016,-0.00357171901,0.0388794256,-0.438330038,-0.148156021,0.0111643766,0.464322128,0.0099497055,-0.0344260363,0.0191651265,0.00175088915,-0.00231395319,0.00196747951,0.00212991694,9.65870014e-05,0.000260151569,0.00350584766,0.00214791854
5.213,0.00984254518,-0.0341751606,0.0186812082,0.000649648872,-0.0109909355,-0.00370702928,0.0467369865,-0.422935716,-0.122276481,0.011617434,0.442730735,0.00995145745,-0.0344283502,0.0191670941,0.00175301879,-0.00231386376,0.00196775145,0.00212934867,8.22487463e-05,0.000283721544,0.00350700529,0.00214974151
5.214,0.00984321953,-0.0341863603,0.0186774445,0.000700373758,-0.0114056869,-0.00381592191,0.0547323388,-0.406382992,-0.0953467645,0.0120474676,0.420991414,0.00995321153,-0.034430664,0.019169062,0.00175514785,-0.00231378871,0.00196804697,0.00212877642,6.78347395e-05,0.000307317678,0.00350818629,0.00215191421
5.215,0.00984394862,-0.0341979663,0.0186735855,0.000759145833,-0.0118033514,-0.00389742479,0.0628245434,-0.388780001,-0.0675230002,0.0124533259,0.399569979,0.00995496775,-0.0344329778,0.0191710302,0.00175727634,-0.00231372812,0.00196836609,0.00212820019,5.33453779e-05,0.000330939782,0.00350939069,0.00215443796
5.216,0.00984474053,-0.034209961,0.0186696591,0.000826041482,-0.0121829328,-0.00395072194,0.0709726612,-0.370234876,-0.0389613158,0.0128341108,0.378984124,0.00995672609,-0.0344352915,0.0191729988,0.00175940425,-0.00231368205,0.00196870885,0.00212761997,3.87810588e-05,0.000354587669,0.00351061853,0.00215731387
5.217,0.00984560342,-0.0342223258,0.0186656937,0.000901096147,-0.0125435431,-0.00397515349,0.0791357533,-0.350855752,-0.00981783945,0.0131891734,0.35980358,0.00995848655,-0.0344376051,0.0191749677,0.00176153158,-0.00231365058,0.00196907528,0.00212703576,2.41421794e-05,0.000378261151,0.00351186986,0.00216054287
5.218,0.00984654544,-0.0342350415,0.0186617186,0.000984304334,-0.0128844024,-0.00397021573,0.0872728805,-0.330750761,0.0197513009,0.0135181098,0.342640826,0.00996024915,-0.0344399188,0.0191769369,0.00176365832,-0.00231363379,0.00196946538,0.00212644756,9.42913683e-06,0.000401960042,0.00351314473,0.00216412569
5.219,0.00984757473,-0.0342480878,0.0186577632,0.00107561961,-0.0132048387,-0.00393556104,0.0953431037,-0.310028039,0.0495899774,0.0138207585,0.328126284,0.00996201387,-0.0344422324,0.0191789066,0.00176578447,-0.00231363175,0.0019698792,0.00212585536,-5.35767182e-06,0.000425684154,0.00351444316,0.0021680629
5.22,0.00984869935,-0.0342614441,0.0186538574,0.00117495459,-0.0135042886,-0.00387099797,0.103305484,-0.28879572,0.0795420619,0.0140971967,0.316862636,0.00996378072,-0.034444546,0.0191808767,0.00176791003,-0.00231364453,0.00197031676,0.00212525916,-2.02178494e-05,0.000449433299,0.00351576521,0.00217235484
5.221,0.00984992727,-0.0342750892,0.0186500312,0.00128218098,-0.0137822964,-0.00377649116,0.111119082,-0.267161936,0.109451427,0.0143477373,0.309358312,0.00996554969,-0.0344468597,0.0191828472,0.00177003499,-0.00231367221,0.00197077808,0.00212465896,-3.51509986e-05,0.000473207291,0.00351711091,0.00217700171
5.222,0.00985126629,-0.0342890015,0.0186463144,0.00139712952,-0.0140385147,-0.0036521614,0.118742959,-0.245234823,0.139161943,0.0145729252,0.305951067,0.00996732079,-0.0344491734,0.0191848183,0.00177215934,-0.00231371485,0.00197126318,0.00212405475,-5.01567225e-05,0.000497005941,0.00351848031,0.00218200348
5.223,0.00985272403,-0.0343031589,0.0186427367,0.00151959001,-0.0142727043,-0.0034982856,0.126136175,-0.223122514,0.168517484,0.0147735319,0.306744411,0.00996909401,-0.0344514871,0.0191867898,0.00177428309,-0.00231377254,0.0019717721,0.00212344654,-6.52346238e-05,0.000520829064,0.00351987345,0.00218735997
5.224,0.00985430789,-0.0343175395,0.0186393275,0.00164931133,-0.014484734,-0.0033152968,0.133257793,-0.200933143,0.197361921,0.0149505498,0.311582245,0.00997086935,-0.0344538009,0.0191887618,0.00177640624,-0.00231384535,0.00197230485,0.0021228343,-8.03843054e-05,0.00054467647,0.00352129036,0.00219307081
5.225,0.00985602498,-0.034332121,0.0186361156,0.00178600142,-0.0146745809,-0.00310378417,0.140066871,-0.178774845,0.225539126,0.0151051846,0.32007354,0.00997264682,-0.0344561148,0.0191907344,0.00177852876,-0.00231393334,0.00197286146,0.00212221806,-9.560537e-05,0.000568547974,0.0035227311,0.00219913544
5.226,0.00985788211,-0.0343468813,0.0186331292,0.00192932725,-0.0148423301,-0.002864493,0.146522473,-0.156755752,0.252892972,0.0152388447,0.331656533,0.00997442641,-0.0344584288,0.0191927075,0.00178065067,-0.00231403658,0.00197344195,0.00212159779,-0.000110897421,0.000592443387,0.00352419569,0.00220555313
5.227,0.00985988572,-0.0343617984,0.0186303956,0.00207891489,-0.0149881749,-0.00259832472,0.152583657,-0.134984,0.279267329,0.0153531288,0.345677152,0.00997620812,-0.0344607429,0.0191946813,0.00178277196,-0.00231415515,0.00197404636,0.0021209735,-0.00012626006,0.000616362522,0.00352568418,0.00221232298
5.228,0.00986204189,-0.0343768504,0.0186279412,0.00223434945,-0.0151124166,-0.00230633688,0.158209486,-0.113567721,0.304506071,0.0154498105,0.361457903,0.00997799195,-0.0344630571,0.0191966556,0.00178489262,-0.00231428912,0.00197467469,0.00212034519,-0.000141692891,0.000640305192,0.00352719661,0.00221944392
5.229,0.00986435622,-0.0343920161,0.0186257911,0.0023951751,-0.0152154649,-0.00198974316,0.163359021,-0.0926150508,0.328453069,0.0155308181,0.37834526,0.00997977791,-0.0344653715,0.0191986306,0.00178701265,-0.00231443856,0.00197532697,0.00211971284,-0.000157195517,0.00066427121,0.00352873302,0.00222691473
5.23,0.00986683387,-0.0344072745,0.0186239694,0.00256089508,-0.0152978373,-0.00164991337,0.167991321,-0.0722341225,0.350952195,0.0155982122,0.395735133,0.00998156598,-0.034467686,0.0192006063,0.00178913204,-0.00231460354,0.00197600324,0.00211907647,-0.00017276754,0.000688260388,0.00353029344,0.002234734
5.231,0.00986947946,-0.0344226051,0.0186224985,0.00273097168,-0.0153601597,-0.00128837344,0.172065449,-0.0525330702,0.371847321,0.0156541566,0.41308192,0.00998335617,-0.0344700007,0.0192025827,0.0017912508,-0.00231478412,0.0019767035,0.00211843606,-0.000188408563,0.000712272539,0.00353187793,0.0022429002
5.232,0.00987229707,-0.0344379884,0.0186213993,0.00290482627,-0.0154031661,-0.000906805435,0.175540465,-0.0336200279,0.39098232,0.0157008865,0.429897587,0.00998514848,-0.0344723156,0.0192045597,0.00179336891,-0.00231498038,0.00197742779,0.00211779161,-0.000204118189,0.000736307475,0.0035334865,0.00225141161
5.233,0.00987529017,-0.0344534053,0.018620691,0.00308183926,-0.0154276985,-0.00050704755,0.17837543,-0.0156031295,0.408201063,0.0157406706,0.445745846,0.00998694291,-0.0344746307,0.0192065375,0.00179548638,-0.00231519238,0.00197817612,0.00211714312,-0.000219896021,0.00076036501,0.00353511922,0.0022602664
5.234,0.00987846158,-0.0344688379,0.0186203907,0.00326135013,-0.0154347071,-9.10941034e-05,0.180529404,0.00140949094,0.423347422,0.015775769,0.460234606,0.00998873945,-0.034476946,0.0192085161,0.0017976032,-0.00231542019,0.00197894853,0.00211649058,-0.000235741662,0.000784444956,0.0035367761,0.00226946258
5.235,0.00988181347,-0.0344842692,0.0186205135,0.00344265743,-0.0154252503,0.000338904457,0.18196145,0.0173096995,0.43626527,0.0158083868,0.473008436,0.00999053811,-0.0344792615,0.0192104954,0.00179971936,-0.00231566389,0.00197974502,0.00211583399,-0.000251654715,0.000808547125,0.0035384572,0.00227899803
5.236,0.00988534725,-0.0344996833,0.0186210724,0.00362501874,-0.0154004946,0.000780641556,0.182630627,0.0319893621,0.446798478,0.0158406248,0.483741816,0.00999233889,-0.0344815773,0.0192124756,0.00180183486,-0.00231592353,0.00198056563,0.00211517336,-0.000267634781,0.00083267133,0.00354016255,0.00228887052
5.237,0.00988906359,-0.0345150655,0.0186220779,0.00380765074,-0.0153617145,0.00123165449,0.182495997,0.0453403449,0.454790918,0.0158744275,0.492133432,0.00999414178,-0.0344838934,0.0192144566,0.0018039497,-0.00231619918,0.00198141037,0.00211450866,-0.000283681466,0.000856817384,0.00354189218,0.00229907766
