time_s,x_filtered,y_filtered,z_filtered,vx,vy,vz,ax,ay,az,speed_norm_m_s,acc_norm_m_s2
0.079318,0.000094399,0.000137600,0.000521532,0.000422874,-0.000270206,0.001720853,0.050746772,-0.032425906,0.206509893,0.001792532,0.215111622
0.080297,0.000094838,0.000137320,0.000523316,0.000472762,-0.000302083,0.001923868,0.051101644,-0.032652661,0.207954018,0.002004003,0.216615899
0.081276,0.000095325,0.000137009,0.000525299,0.000522798,-0.000334054,0.002127482,0.051050948,-0.032620267,0.207747714,0.002216098,0.216401003
0.082255,0.000095861,0.000136666,0.000527481,0.000572593,-0.000365872,0.002330120,0.050614962,-0.032341683,0.205973503,0.002427177,0.214552891
0.083234,0.000096446,0.000136292,0.000529861,0.000621781,-0.000397302,0.002530288,0.049813964,-0.031829865,0.202713907,0.002635681,0.211157522
0.084213,0.000097078,0.000135888,0.000532434,0.000670015,-0.000428122,0.002726570,0.048668233,-0.031097772,0.198051446,0.002840140,0.206300856
0.085192,0.000097758,0.000135454,0.000535197,0.000716966,-0.000458123,0.002917636,0.047198046,-0.030158360,0.192068641,0.003039164,0.200068851
0.086171,0.000098482,0.000134992,0.000538145,0.000762328,-0.000487108,0.003102231,0.045423684,-0.029024587,0.184848016,0.003231448,0.192547466
0.087150,0.000099250,0.000134501,0.000541269,0.000805812,-0.000514893,0.003279186,0.043365423,-0.027709411,0.176472090,0.003415773,0.183822659
0.088129,0.000100059,0.000133984,0.000544562,0.000847150,-0.000541307,0.003447408,0.041043543,-0.026225788,0.167023386,0.003591003,0.173980389
0.089108,0.000100907,0.000133442,0.000548016,0.000886094,-0.000566192,0.003605889,0.038478321,-0.024586676,0.156584424,0.003756085,0.163106615
0.090087,0.000101793,0.000132876,0.000551619,0.000922417,-0.000589401,0.003753700,0.035690037,-0.022805033,0.145237727,0.003910052,0.151287295
0.091066,0.000102713,0.000132288,0.000555362,0.000955908,-0.000610801,0.003889991,0.032698969,-0.020893816,0.133065815,0.004052021,0.138608388
0.092045,0.000103664,0.000131680,0.000559232,0.000986381,-0.000630272,0.004013996,0.029525394,-0.018865982,0.120151210,0.004181191,0.125155853
0.093024,0.000104643,0.000131055,0.000563217,0.001013665,-0.000647706,0.004125028,0.026189593,-0.016734489,0.106576434,0.004296848,0.111015648
0.094003,0.000105647,0.000130413,0.000567304,0.001037613,-0.000663008,0.004222481,0.022711842,-0.014512294,0.092424008,0.004398360,0.096273733
0.094982,0.000106673,0.000129757,0.000571480,0.001058095,-0.000676096,0.004305830,0.019112421,-0.012212354,0.077776453,0.004485181,0.081016065
0.095961,0.000107718,0.000129090,0.000575730,0.001075001,-0.000686899,0.004374631,0.015411607,-0.009847628,0.062716291,0.004556847,0.065328605
0.096940,0.000108777,0.000128413,0.000580040,0.001088244,-0.000695360,0.004428519,0.011629680,-0.007431072,0.047326043,0.004612980,0.049297309
0.097919,0.000109847,0.000127729,0.000584396,0.001097752,-0.000701436,0.004467213,0.007786917,-0.004975644,0.031688231,0.004653285,0.033008137
